,eq,60N,60S
1980-03-27,13.802128793947197,1.1781366954102694,11.05939082237007
1980-03-28,14.285167884924338,1.3271375481042138,11.68570035350086
1980-03-29,14.162828386143278,2.3988313669349495,12.655522359425373
1980-03-30,14.405661438555603,3.5155120033439133,13.896636662510105
1980-03-31,13.635960721852655,4.621024986582408,15.079502376911583
1980-04-01,14.696050737363755,4.930209552188296,16.18890031452578
1980-04-02,14.850373561777532,6.252145094465678,17.34590170838866
1980-04-03,14.684141526736857,7.1162765287877985,19.049462442003957
1980-04-04,14.865976603111951,7.247225640367551,19.997308253588304
1980-04-05,14.673360537144998,6.423579911214863,20.701624660899114
1980-04-06,15.035541117900166,4.967167469910507,21.147911036564732
1980-04-07,15.32766021220846,1.2313923842763537,21.823960391923524
1980-04-08,15.446096148153728,-2.6012311565969397,22.33149242078819
1980-04-09,15.255921662496437,-3.5698408800441506,22.67607979492944
1980-04-10,15.678837548522019,-2.1904540130018986,23.275216369584676
1980-04-11,15.182114342835375,-1.8838252558036868,23.990517731818947
1980-04-12,15.268330436143373,-1.87407224935506,24.576389934165505
1980-04-13,15.019219072801194,-2.614844685268586,24.412756760363063
1980-04-14,15.651249486945053,-2.7781456609603827,25.318558027116836
1980-04-15,15.687917556287767,-2.2250173121391854,25.778649411739977
1980-04-16,15.206966551516253,-2.019885732179382,25.276808620713112
1980-04-17,15.900916866606256,-1.9896214416604272,25.28260982764004
1980-04-18,15.766666592103396,-3.076640910073272,27.777053323345402
1980-04-19,15.646369089149209,-3.1123924838051735,30.788415655566084
1980-04-20,15.474287117962877,-3.1807037355956473,32.75352409644513
1980-04-21,15.407127443743217,-3.4081707746071435,33.58725954657855
1980-04-22,15.384191020415665,-2.4203939738172964,34.19897656983827
1980-04-23,15.572386695209872,-2.265228928256918,34.099664424776286
1980-04-24,15.364633061503856,-2.1471038759785728,34.30704619609746
1980-04-25,15.63380389199476,-2.670048971314066,34.34723722673744
1980-04-26,15.208751862930837,-3.6808808679207616,33.83811494681593
1980-04-27,15.192582535824485,-4.6097367214823946,33.86958480792407
1980-04-28,14.596624630286286,-5.542842399119741,32.940081456018795
1980-04-29,15.328647961511637,-5.131092237904841,31.381379481433882
1980-04-30,14.847447418549189,-5.072965830653145,31.280189618173825
1980-05-01,15.053827532040723,-5.575071857730365,32.491587968743254
1980-05-02,14.836655991750755,-5.736544796911816,34.67316245986873
1980-05-03,14.201793456669703,-5.80631835982512,35.91617954232357
1980-05-04,14.430718047578287,-5.694998415233209,36.298160767763584
1980-05-05,14.533134820866236,-5.798040513558302,37.17448395653399
1980-05-06,14.992199753872132,-5.994066843609791,38.889070133647735
1980-05-07,14.804874891314494,-6.128229698424231,41.35135154542485
1980-05-08,14.701020730380833,-5.8467775921080625,42.69625985742432
1980-05-09,14.837230861901004,-6.001775867086743,45.16292209442301
1980-05-10,14.122266619867187,-6.022082737300299,47.16160245782784
1980-05-11,14.378036592790506,-5.870332311689261,48.72286070247313
1980-05-12,14.072675019413893,-6.091589162506143,48.80067342011284
1980-05-13,13.712978311035855,-5.995881914856984,48.6009909669948
1980-05-14,13.176116399720442,-7.070069202356111,48.73082477060608
1980-05-15,13.040591981363367,-6.969803790657997,48.60329539096863
1980-05-16,13.318377637400356,-6.38335985048654,48.60269145287769
1980-05-17,13.195892252560661,-6.305633478981517,48.35385171681686
1980-05-18,13.077524974684524,-6.470620781369558,49.08046072782538
1980-05-19,12.501105907637319,-6.500207990684016,48.8253506128055
1980-05-20,12.485140468395244,-6.603488640915973,48.85524480847731
1980-05-21,12.64638852392308,-6.903638332145039,50.074250270771124
1980-05-22,11.708645670937784,-7.0804677051799185,53.51656922938324
1980-05-23,11.381329153722287,-7.157629271438819,54.859459658316894
1980-05-24,11.021934509093935,-8.015707559745607,54.38214747987711
1980-05-25,9.550833386876455,-8.509589261666724,54.453961777079634
1980-05-26,9.342148096953677,-9.626080318730958,54.97750170587498
1980-05-27,8.422309761141276,-9.574012697305603,54.61548178537673
1980-05-28,8.282255538328123,-9.54284782825224,54.70085532339831
1980-05-29,8.705003585870296,-10.233130217433756,54.323823662773165
1980-05-30,8.796440853435314,-9.974296287911114,53.43463608547463
1980-05-31,8.01636769872431,-9.706153608690254,52.54186455490703
1980-06-01,7.569271035057577,-9.689649812976034,54.5862466832118
1980-06-02,8.018532220707906,-9.97696969568779,54.85814871007853
1980-06-03,6.70642278479833,-10.219552315281735,52.72873778892563
1980-06-04,6.187774714595922,-10.495193939064494,48.61767397732144
1980-06-05,4.951270338847412,-10.453331528048281,45.30784807840175
1980-06-06,4.314160326630288,-11.176565886725255,42.10632254112808
1980-06-07,3.8089048539788553,-11.024724785694975,40.636620955583204
1980-06-08,3.0975067425520946,-10.64717962373281,42.08977095155704
1980-06-09,3.1709127595178606,-10.594242332035863,41.500374887616005
1980-06-10,2.3977295602660997,-10.6899894948049,42.32735488635988
1980-06-11,3.745942856874558,-10.781899929491333,43.70911764147139
1980-06-12,3.4097827894677297,-10.624349950853409,47.15043598382809
1980-06-13,3.3148451023095276,-10.656716260916822,51.58223810296244
1980-06-14,2.2888345276756468,-11.122030809980725,53.35421274597361
1980-06-15,2.6497359240228238,-11.137747363933173,52.55738098864669
1980-06-16,1.6984337500307358,-11.12229617265175,53.53591608332274
1980-06-17,0.8544424513804951,-11.33811593619789,55.20852518649831
1980-06-18,0.0451377853324527,-11.953457907559812,57.53966449809854
1980-06-19,-0.028057826913459732,-11.971870067407743,59.624061081636874
1980-06-20,-0.5555829586593871,-11.551912511389718,58.93623833000538
1980-06-21,-1.6508164095262503,-11.523764851900859,58.8449721068803
1980-06-22,-1.7542255798992836,-11.312413711717356,61.18506399907218
1980-06-23,-2.8280279714622547,-11.154533482886354,63.658213638906425
1980-06-24,-2.4861692926929644,-11.360249298403472,64.77334809691374
1980-06-25,-2.7781619403584754,-10.749253096831328,63.292144114870524
1980-06-26,-3.594146635877607,-10.710333382699407,62.71541419931897
1980-06-27,-3.138682094450384,-11.115291521747622,63.34570569080223
1980-06-28,-3.9301606967399714,-11.524226928355759,64.57215790228598
