,EOF1,EOF2,EOF3
1980-03-20,-2.772065156844051,0.4524733682123637,0.8119388472502336
1980-03-21,-2.78787019101493,-0.6394783253203798,1.7913072349348846
1980-03-22,-2.43315924598566,-0.587516119817045,2.5451523152544016
1980-03-23,-1.9856235987261803,-0.2794641516294132,2.627674697016521
1980-03-24,-1.637023238935339,-0.2028120473254712,2.3100182427406115
1980-03-25,-1.3195819950620422,-0.2362537646640176,1.9935149877975915
1980-03-26,-0.7851431399980209,-0.2213274526129519,1.9828636887362727
1980-03-27,-0.2288470020294357,-0.3082162364735612,1.9335498943998493
1980-03-28,0.037020087259421,-0.3427530334269925,1.568535098134748
1980-03-29,0.1056708905316495,-0.3252663045668763,0.9983913158195092
1980-03-30,-0.0565886002541369,-0.0945132373099814,0.5916718888059042
1980-03-31,0.1148204306346101,-0.0820365777460451,0.7384273989323726
