,NAOP_S,BLOCK_S,NAOM_S,RIDGE_S
1996-12-15,0.336606244387649,-2.8858973537345554,1.2853181774775544,1.3619543737493962
1996-12-16,0.2687541515658077,-2.362073488828267,1.0827224442559615,1.085393361034629
1996-12-17,0.3071328154912212,-1.8540366130435941,1.049743476647185,0.4888466913084012
1996-12-18,0.06819227077492382,-1.5984412043702874,1.3926678881664891,0.007197839127700459
1996-12-19,-0.11662565254280374,-1.6497209933918648,1.5365202552181554,0.08679812563282657
1996-12-20,-0.7639798826321734,-1.3338856101827166,1.5890369411410097,0.3640153160699822
1996-12-21,-1.7849124765627742,-0.7400300729870108,1.4224008205602263,1.0090411830519563
1996-12-22,-1.7174961669479485,-0.11198194783154336,0.788016184772832,1.020161821385334
1996-12-23,-1.2724137767081587,-0.26467527999876456,1.0279310559237527,0.3954350836208253
1996-12-24,-1.3012030153297414,-0.38462020465560404,0.9257358532074457,0.7025723701521664
1996-12-25,-0.9338970623966485,0.16834354297891757,0.32690983969158743,0.4216995270888187
1996-12-26,-1.8447283604973277,0.966837330127261,0.15925756789656997,0.7009139789368841
1996-12-27,-2.0415332537023416,1.0804677601333617,-0.06164067120730094,1.0720523457484648
1996-12-28,-1.9828413950671369,0.9580508968214833,0.8132126658545796,0.013028536605645501
1996-12-29,-2.3259633139080065,1.118179561432368,0.9936687084257263,-0.025320276181459985
1996-12-30,-2.380076251410804,0.68458332318828,1.35524185096687,0.07662601955270396
1996-12-31,-2.6967387926984445,0.13303227521339586,1.864402885905386,0.40798512734572173
1997-01-01,-2.630262063105128,-0.7929688371949757,2.3840604818648665,0.7514100687319162
1997-01-02,-2.7994367910875293,-0.8544221389041411,2.3386473237448935,1.0744644963074732
1997-01-03,-2.6546236289719114,-0.6064224512278453,2.451302357391514,0.47169167981219084
1997-01-04,-2.2873275904340256,-0.54930443656055,2.099762629414637,0.4564064480112402
1997-01-05,-2.174164005880171,-0.6604895246301978,1.9074606623452914,0.7138876266682597
1997-01-06,-1.9891754729315603,-0.838603382333138,1.957735311191012,0.6524547734480401
1997-01-07,-1.7728426996677715,-0.9193004750739309,1.8458090500760502,0.6508539645233488
1997-01-08,-1.107740750260426,-1.1571312168462804,1.6025341757828027,0.5072320723731025
1997-01-09,-0.45834767425888856,-1.5206685589469413,1.4911516462262258,0.3569055599606464
1997-01-10,-0.10490690023114498,-1.8464421974527319,1.1856065886146154,0.7488614611329328
1997-01-11,-0.2995348998319726,-1.2191376178771822,0.8797820479827047,0.6248303879686484
1997-01-12,0.0055386341337247775,-0.058086907554595994,-0.09542423624902961,0.18678954391890099
1997-01-13,0.7256895288535558,0.5152569336232188,-1.0583730427547788,-0.03605409748316895
1997-01-14,0.9312927860482723,0.672401338130511,-1.4314385223332078,0.03783171126129036
1997-01-15,0.5227278086653598,1.0050219740768078,-1.1832840445980837,-0.2260465113257673
1997-01-16,0.05150265095958879,0.2929308124144462,-0.039995062612372026,-0.3458137952140982
1997-01-17,0.06310682964344703,-0.02774303584500073,0.6369678339358326,-0.8622911636874464
1997-01-18,-0.41172358049469654,-0.37188985208439296,0.7183197799589792,-0.04133178026552591
1997-01-19,-1.02934893802663,0.5401185595128786,-0.3163025940229809,0.9162681085802378
1997-01-20,-1.3102820400712287,1.691026912644415,-1.493949582228065,1.4045646791786757
1997-01-21,-0.6528890273387826,2.6275814491060934,-2.487558899632722,0.8662078139085742
1997-01-22,0.32262624958065483,2.360999054833989,-2.212997275159533,-0.26003241741932254
1997-01-23,0.846245672331744,1.7953546760583374,-1.985276224681194,-0.46589835673332125
1997-01-24,0.7148550451599641,2.077139282803271,-1.999557402707939,-0.6345794678019655
1997-01-25,0.033260341256275,3.058050608059619,-2.5468214291002367,-0.3202879961393429
1997-01-26,-0.3358661240051252,3.1370615336581222,-2.2189396187831747,-0.4337532854198035
1997-01-27,-1.2731336370945008,1.6960631127608985,-1.7396706455593047,1.6768691749085485
1997-01-28,-1.9998063426273123,0.6680033542287652,-0.9310529582906297,2.6495474524510887
1997-01-29,-2.4950391031679917,1.4351968696326776,-0.4117041761418493,1.6221683323736775
1997-01-30,-2.4591434780068275,1.3049263777043416,0.05546761902842029,1.119328647406423
1997-01-31,-2.0415207933504744,0.4342168978903784,0.25734141402077304,1.4243502212491286
1997-02-01,-1.4028019396724463,0.8180429466243255,0.027262231870402266,0.5625882963561933
1997-02-02,-0.2644428748867572,1.0848857660072213,-0.6616496809668492,-0.12488482158675039
1997-02-03,0.5302986419459601,0.7627753083382144,-1.3094289219786566,0.21649797536551676
1997-02-04,1.3661062563025121,0.19841032739086312,-1.3818532942765596,0.04943153432797356
1997-02-05,1.832151894953752,-0.5193354744144859,-1.4418200498849958,0.45917297935226387
1997-02-06,1.5564230319898202,-0.29534305516502807,-1.2831409834031058,0.297423196388694
1997-02-07,1.461423504344353,0.3288028091386983,-1.3479025528384143,-0.2520335193325641
1997-02-08,1.1491808612305352,0.11113392594119804,-1.8379950527163034,0.990515393287683
1997-02-09,1.3303442980527216,0.8438273790965638,-1.8425996472588546,-0.06994748968923561
1997-02-10,2.309181579273019,0.6359882399189324,-1.5644593945657148,-1.2755609273382538
1997-02-11,2.342160191785192,-0.16123197421958563,-1.5352929006263587,-0.4134470042953968
1997-02-12,2.0222121587320885,-0.5714650908064288,-1.1116771765119995,-0.1198710462203003
1997-02-13,1.7701568090459618,-1.0546383924939733,-0.4560917197122477,-0.12625043990149587
1997-02-14,1.443918152776512,-0.9874699873815849,-0.6139448668922748,0.36332020229479245
1997-02-15,0.9876394168542816,-0.4514664222651534,-0.7593178429538447,0.432816125066079
1997-02-16,0.6858850100937499,0.7013627681710817,-0.8766316457624872,-0.4391520110942401
1997-02-17,1.7399969133910347,1.1036839554871711,-1.4333821449204116,-1.3671995593438302
1997-02-18,2.9928464919005324,0.6759016446935492,-1.277834598569333,-2.458785612872693
1997-02-19,2.6001117848944864,0.5894716325750816,-1.51660416554328,-1.607655071369382
1997-02-20,2.798537755004857,0.2253971831224708,-1.6462899882368491,-1.2309526396101447
1997-02-21,2.3949026432651106,-0.4008351912772916,-1.3738229582362032,-0.39753803839538737
1997-02-22,1.608687564294784,-0.1256821729349249,-0.9493374455783585,-0.39713020669174054
1997-02-23,2.2646337599054047,-0.2801758449132435,-0.48144186546264806,-1.5524879922771533
1997-02-24,3.0460057895393255,-0.9724591042050553,-0.480349144801564,-1.6098695470742033
1997-02-25,3.7400691959692547,-1.530427236346477,-0.9554682830221529,-1.1047716656783386
1997-02-26,3.187828242116444,-1.5571888679822963,-1.329534108971051,0.027216670133993558
1997-02-27,1.8327480621052668,-0.44704198639116666,-1.5647741424794872,0.5331741840879244
1997-02-28,2.1659560855044417,0.8823201352015072,-1.8310831500517706,-1.057248414048808
1997-03-01,2.6390259985078024,0.708104578124973,-2.246852602418819,-0.8364281139160716
1997-03-02,2.8094433030557813,0.8094373215658178,-2.3935211407246455,-0.9508720945295286
1997-03-03,2.0210253828878586,0.5538032239460953,-2.433275780697743,0.27699887031887743
1997-03-04,1.1538157036088903,1.2156091691462954,-2.2208350800968026,0.1833906164644112
1997-03-05,1.4611543873927728,2.1131589371787602,-2.071064462204031,-1.4132989467732633
1997-03-06,1.3537035427132922,1.9442601692030692,-2.3883432459935223,-0.6874653119036512
1997-03-07,1.5636764580096612,2.267193697393796,-2.220333165903941,-1.521340149005366
1997-03-08,0.5198346991017008,2.395617438566776,-2.5866069677709187,-0.04003585024652766
1997-03-09,-0.04736709014716154,3.1454128053418846,-2.4771064652848804,-0.43409425517708755
1997-03-10,-0.16928078656437848,2.4899923479223616,-1.705450875552514,-0.5308864676255753
1997-03-11,-0.4786355228377283,1.7558042545001658,-1.117901699303771,-0.08453373008280184
1997-03-12,-0.7009756220506351,0.21454399271124439,0.16363934275390007,0.3098862551083632
1997-03-13,-0.3185149563041536,-0.7409630866377201,0.6295165588140941,0.4038114858593731
1997-03-14,-0.07987080718341223,-1.6355041201096572,0.5337559588416312,1.3194240533402843
1997-03-15,-0.1397245813066884,-1.6108129114528722,0.43139955828005105,1.4951729156681746
1997-03-16,-0.7590460823997056,-1.443435554306999,0.971572468095892,1.2840958011895176
1997-03-17,-1.5173825904227314,-1.1824206603520313,1.5179761531214615,1.100494313475748
1997-03-18,-1.4027258500927295,-0.9640770937069479,1.5444514876054336,0.679351906842381
1997-03-19,-1.2582841985888895,-1.1270639970290715,1.3367433645731053,0.9825549032937386
1997-03-20,-1.3174528105477399,-1.1791204541469684,1.515389585236471,0.8787938825620004
1997-03-21,-0.7571172491812086,-1.0099704297336367,1.3509976789855078,0.2688169637284972
1997-03-22,-0.8126745304634384,-0.4445510656547723,0.8437474512074283,0.32365552164754896
1997-03-23,-0.5267401699542638,-0.2806574997768242,0.5938551315574995,0.13771479248128443
