,glob,30_40N
1980-05-01,14.19679190957461,13.812630137772878
1980-05-02,14.279416624683504,14.292272674692557
1980-05-03,14.30259860030152,14.789776746798392
1980-05-04,14.301480417389184,14.84267130902226
1980-05-05,14.415090717737666,15.216741089441856
1980-05-06,14.49443874599416,15.044779898909878
1980-05-07,14.474362113313749,15.211020438035316
1980-05-08,14.45855439705981,14.74066589469678
1980-05-09,14.540148614234694,14.729056381602184
1980-05-10,14.600376396593292,15.094643945372916
1980-05-11,14.639076576068073,15.22058265882836
1980-05-12,14.69940394462478,15.330750252730176
1980-05-13,14.736694091384477,15.75114978290782
1980-05-14,14.817676113150425,15.761273784205198
1980-05-15,14.841494480487178,15.358424170897406
1980-05-16,14.846617219724934,15.134427162583954
1980-05-17,14.884004711690894,15.4665540965442
